season,competition_id,competition,competition_type,p,w,d,l,gf,ga,furthest_round,position,league_size
2015-16,champions-league,UEFA Champions League,european,8,4,2,2,14,8,Play-off round First leg,,
2015-16,europa-league,UEFA Europa League,european,4,1,1,2,7,6,Round of 32 First leg,,
2015-16,fa-cup,FA Cup,domestic-cup,7,6,1,0,14,5,Final,,
2015-16,league-cup,League Cup,league-cup,2,1,1,0,3,0,Round 4,,
2015-16,premier-league,Premier League,league,39,20,9,10,52,36,1. Matchday,5,20
2016-17,charity-shield,FA Charity/Community Shield,super-cup,1,1,0,0,2,1,Final,,
2016-17,europa-league,UEFA Europa League,european,15,10,3,2,25,8,Final,,
2016-17,fa-cup,FA Cup,domestic-cup,4,3,0,1,10,2,Quarter-final,,
2016-17,league-cup,League Cup,league-cup,6,5,0,1,14,6,Final,,
2016-17,premier-league,Premier League,league,38,18,15,5,54,29,1. Matchday,6,20
2017-18,champions-league,UEFA Champions League,european,8,5,1,2,13,5,Group A,,
2017-18,fa-cup,FA Cup,domestic-cup,6,5,0,1,12,2,Final,,
2017-18,league-cup,League Cup,league-cup,3,2,0,1,7,3,Round 5,,
2017-18,premier-league,Premier League,league,38,25,6,7,68,28,1. Matchday,2,20
2017-18,uefa-super-cup,UEFA Super Cup,super-cup,1,0,0,1,1,2,Final,,
2018-19,champions-league,UEFA Champions League,european,10,4,1,5,10,11,Group H,,
2018-19,fa-cup,FA Cup,domestic-cup,4,3,0,1,8,3,Quarter-final,,
2018-19,league-cup,League Cup,league-cup,1,0,1,0,2,2,Round 3,,
2018-19,premier-league,Premier League,league,38,19,9,10,65,54,1. Matchday,6,20
2019-20,europa-league,UEFA Europa League,european,12,8,2,2,25,6,group L,,
2019-20,fa-cup,FA Cup,domestic-cup,6,4,1,1,13,4,Semi-final,,
2019-20,league-cup,League Cup,league-cup,5,3,1,1,8,5,Semi-final,,
2019-20,premier-league,Premier League,league,38,18,12,8,66,36,1. Matchday,3,20
2020-21,champions-league,UEFA Champions League,european,6,3,0,3,15,10,Group H,,
2020-21,europa-league,UEFA Europa League,european,9,5,3,1,19,7,Final,,
2020-21,fa-cup,FA Cup,domestic-cup,4,3,0,1,6,5,Quarter-final,,
2020-21,league-cup,League Cup,league-cup,4,3,0,1,8,2,Semi-final,,
2020-21,premier-league,Premier League,league,38,21,11,6,73,44,2. Matchday,2,20
2021-22,champions-league,UEFA Champions League,european,8,3,3,2,12,10,Group F,,
2021-22,fa-cup,FA Cup,domestic-cup,2,1,1,0,2,1,Round 4,,
