name,wikidata_id,commons_file,image_url,thumb_url,local_path,page_url,license,artist,credit,source_id,retrieved_at
Emir Spahic,Q253163,20150331 2025 AUT BIH 2135.jpg,https://upload.wikimedia.org/wikipedia/commons/7/79/20150331_2025_AUT_BIH_2135.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/20150331_2025_AUT_BIH_2135.jpg/330px-20150331_2025_AUT_BIH_2135.jpg,/media/own-goal-scorers/emir-spahic.webp,https://commons.wikimedia.org/wiki/File:20150331_2025_AUT_BIH_2135.jpg,CC BY-SA 3.0 at,Ailura,Own work,wikidata-commons,2026-06-16T13:24:01.971Z
Emlyn Hughes,Q453337,Emlyn Hughes (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/f/fb/Emlyn_Hughes_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Emlyn_Hughes_%28cropped%29.jpg/330px-Emlyn_Hughes_%28cropped%29.jpg,/media/own-goal-scorers/emlyn-hughes.webp,https://commons.wikimedia.org/wiki/File:Emlyn_Hughes_(cropped).jpg,CC BY-SA 4.0,Comet Photo AG (Zürich),ETH-Bibliothek: E-Pics Bildarchiv online; http://doi.org/10.3932/ethz-a-000982467,wikidata-commons,2026-06-16T13:24:01.971Z
Emmerson Boyce,Q561991,"Emmerson Boyce - Wigan Athletic v Birmingham City, 5th December 2009.jpg",https://upload.wikimedia.org/wikipedia/commons/e/e0/Emmerson_Boyce_-_Wigan_Athletic_v_Birmingham_City%2C_5th_December_2009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Emmerson_Boyce_-_Wigan_Athletic_v_Birmingham_City%2C_5th_December_2009.jpg/330px-Emmerson_Boyce_-_Wigan_Athletic_v_Birmingham_City%2C_5th_December_2009.jpg,/media/own-goal-scorers/emmerson-boyce.webp,"https://commons.wikimedia.org/wiki/File:Emmerson_Boyce_-_Wigan_Athletic_v_Birmingham_City,_5th_December_2009.jpg",CC BY-SA 2.0,Dan Farrimond,"Emmerson Boyce - Wigan Athletic v Birmingham City, 5th December 2009 Uploaded by TabloidFootprints",wikidata-commons,2026-06-16T13:24:01.971Z
Gareth McAuley,Q933750,Gareth McAuley 8518 (15447548888) (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/7/74/Gareth_McAuley_8518_%2815447548888%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Gareth_McAuley_8518_%2815447548888%29_%28cropped%29.jpg/330px-Gareth_McAuley_8518_%2815447548888%29_%28cropped%29.jpg,/media/own-goal-scorers/gareth-mcauley.webp,https://commons.wikimedia.org/wiki/File:Gareth_McAuley_8518_(15447548888)_(cropped).jpg,CC BY-SA 2.0,Warwick Gastinger,Gareth McAuley 8518,wikidata-commons,2026-06-16T13:24:01.971Z
Hakan Şükür,Q192974,Hakan.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Hakan.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Hakan.jpg/330px-Hakan.jpg,/media/own-goal-scorers/hakan-sukur.webp,https://commons.wikimedia.org/wiki/File:Hakan.jpg,CC BY-SA 3.0,Vulkahn at German Wikipedia,Transferred from de.wikipedia to Commons.,wikidata-commons,2026-06-16T13:24:01.971Z
Harry Redknapp,Q221349,Harry Redknapp 2011 (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/2/25/Harry_Redknapp_2011_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Harry_Redknapp_2011_%28cropped%29.jpg/330px-Harry_Redknapp_2011_%28cropped%29.jpg,/media/own-goal-scorers/harry-redknapp.webp,https://commons.wikimedia.org/wiki/File:Harry_Redknapp_2011_(cropped).jpg,CC BY 2.0,James Boyes from UK,Brighton v Spurs Amex Opening 30/7/11 Uploaded by Kafuffle,wikidata-commons,2026-06-16T13:24:01.971Z
Hermann Hreiðarsson,Q381075,Hermann Hreiðarsson o crop (cropped).png,https://upload.wikimedia.org/wikipedia/commons/7/74/Hermann_Hrei%C3%B0arsson_o_crop_%28cropped%29.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Hermann_Hrei%C3%B0arsson_o_crop_%28cropped%29.png/330px-Hermann_Hrei%C3%B0arsson_o_crop_%28cropped%29.png,/media/own-goal-scorers/hermann-hrei-arsson.webp,https://commons.wikimedia.org/wiki/File:Hermann_Hrei%C3%B0arsson_o_crop_(cropped).png,CC BY-SA 2.0,Helgi Halldórsson/Freddi,https://www.flickr.com/photos/8058853@N06/3671654238/,wikidata-commons,2026-06-16T13:24:01.971Z
Ian Evatt,Q1324468,Flickr_-_joncandy_-_Blackpool_Celebrate.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Flickr_-_joncandy_-_Blackpool_Celebrate.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Flickr_-_joncandy_-_Blackpool_Celebrate.jpg/330px-Flickr_-_joncandy_-_Blackpool_Celebrate.jpg,/media/own-goal-scorers/ian-evatt.webp,https://commons.wikimedia.org/wiki/File:Flickr_-_joncandy_-_Blackpool_Celebrate.jpg,CC BY-SA 2.0,"Jon Candy from Cardiff, Wales",Blackpool Celebrate,wikidata-commons,2026-06-16T13:24:01.971Z
Ibrahima Konaté,Q30301454,Liverpool FC gegen 1. FSV Mainz 05 (Testspiel 23. Juli 2021) 15 (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Liverpool_FC_gegen_1._FSV_Mainz_05_%28Testspiel_23._Juli_2021%29_15_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Liverpool_FC_gegen_1._FSV_Mainz_05_%28Testspiel_23._Juli_2021%29_15_%28cropped%29.jpg/330px-Liverpool_FC_gegen_1._FSV_Mainz_05_%28Testspiel_23._Juli_2021%29_15_%28cropped%29.jpg,/media/own-goal-scorers/ibrahima-konate.webp,https://commons.wikimedia.org/wiki/File:Liverpool_FC_gegen_1._FSV_Mainz_05_(Testspiel_23._Juli_2021)_15_(cropped).jpg,CC BY-SA 4.0,crop by Wenflou,Own work,wikidata-commons,2026-06-16T13:24:01.971Z
Ignacio Zoco,Q268412,Ignacio Zoco (1971).jpg,https://upload.wikimedia.org/wikipedia/commons/a/a3/Ignacio_Zoco_%281971%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Ignacio_Zoco_%281971%29.jpg/330px-Ignacio_Zoco_%281971%29.jpg,/media/own-goal-scorers/ignacio-zoco.webp,https://commons.wikimedia.org/wiki/File:Ignacio_Zoco_(1971).jpg,CC0,Joost Evers / Anefo,Edited version of Nationaal Archief,wikidata-commons,2026-06-16T13:24:01.971Z
