id,player_id,player,direction,date,date_precision,season,club,club_id,fee_gbp,fee_raw,fee_kind,market_value_eur,type
1999-08-21-quentin-fortune-in,,Quentin Fortune,in,1999-08-21,day,1999-00,Club Atl&eacute;tico de Madrid,club-atlandeacute-tico-de-madrid,1500000,£1.5m,fee,,permanent
1999-08-31-massimo-taibi-in,massimo-taibi,Massimo Taibi,in,1999-08-31,day,1999-00,Venezia,venezia,4900000,£4.9m,fee,,permanent
1999-09-01-mickael-silvestre-in,,Mickael Silvestre,in,1999-09-01,month,1999-00,Internazionale Milan F.C.,internazionale-milan-f-c,4000000,£4.0m,fee,,permanent
1999-12-20-erik-nevland-out,erik-nevland,Erik Nevland,out,1999-12-20,day,1999-00,Viking Stavanger,viking-stavanger,250000,£250,fee,,permanent
2000-03-23-richard-wellens-out,,Richard Wellens,out,2000-03-23,day,1999-00,Blackpool,blackpool,,£,unknown,,permanent
2000-05-21-fabien-barthez-in,fabien-barthez,Fabien Barthez,in,2000-05-21,day,1999-00,AS Monaco,as-monaco,7800000,£7.8m,fee,,permanent
2000-05-31-john-curtis-out,john-curtis,John Curtis,out,2000-05-31,day,1999-00,Blackburn Rovers,blackburn-rovers,1500000,£1.5m,fee,,permanent
2000-06-30-jordi-cruyff-out,jordi-cruijff,Jordi Cruijff,out,2000-06-30,day,1999-00,Alaves,alaves,,£free,free,,permanent
2000-06-30-michael-twiss-out,michael-twiss,Michael Twiss,out,2000-06-30,day,1999-00,Port Vale,port-vale,,£Free,free,,permanent
2000-07-03-darren-fletcher-in,darren-fletcher,Darren Fletcher,in,2000-07-03,day,2000-01,,,,,none,,youth
2000-07-05-danny-higginbotham-out,danny-higginbotham,Danny Higginbotham,out,2000-07-05,day,2000-01,Derby County,derby-county,2000000,£2m,fee,,permanent
2000-08-28-massimo-taibi-out,massimo-taibi,Massimo Taibi,out,2000-08-28,day,2000-01,Reggina,reggina,2500000,£2.5m,fee,,permanent
2000-11-28-alex-notman-out,alex-notman,Alex Notman,out,2000-11-28,day,2000-01,Norwich City,norwich-city,250000,£250,fee,,permanent
2000-12-15-henning-berg-out,henning-berg,Henning Berg,out,2000-12-15,day,2000-01,Blackburn Rovers,blackburn-rovers,1750000,£1.75m,fee,,permanent
2001-01-03-david-healy-out,david-healy,David Healy,out,2001-01-03,day,2000-01,Preston North End,preston-north-end,1500000,£1.5m + appearances,fee,,permanent
2001-03-01-andrew-goram-in,andy-goram,Andy Goram,in,2001-03-01,month,2000-01,,,100000,£100,fee,,permanent
2001-06-01-andrew-goram-out,andy-goram,Andy Goram,out,2001-06-01,month,2000-01,Motherwell,motherwell,,,unknown,,loan
2001-06-30-teddy-sheringham-out,teddy-sheringham,Teddy Sheringham,out,2001-06-30,day,2000-01,Tottenham Hotspur,tottenham-hotspur,,£Free,free,,permanent
2001-07-01-edward-johnson-in,,Edward Johnson,in,2001-07-01,day,2001-02,,,,,none,,youth
2001-07-01-mark-wilson-out,mark-wilson,Mark Wilson,out,2001-07-01,month,2001-02,Middlesbrough,middlesbrough,1500000,£1.5m,fee,,permanent
2001-07-01-phillip-bardsley-in,,Phillip Bardsley,in,2001-07-01,day,2001-02,,,,,none,,youth
2001-07-01-ruud-van-nistlerooy-in,,Ruud Van Nistlerooy,in,2001-07-01,day,2001-02,PSV Eindhoven,psv-eindhoven,19000000,£19m,fee,,permanent
2001-07-02-kieran-richardson-in,kieran-richardson,Kieran Richardson,in,2001-07-02,day,2001-02,,,,,none,,youth
2001-07-21-juan-sebastian-veron-in,juan-sebastian-veron,Juan Sebastián Verón,in,2001-07-21,day,2001-02,S.S. Lazio,s-s-lazio,28100000,£28.1m,fee,,permanent
2001-07-23-roy-carroll-in,roy-carroll,Roy Carroll,in,2001-07-23,day,2001-02,Wigan Athletic,wigan-athletic,2500000,£2.5m,fee,,permanent
2001-08-27-jaap-stam-out,jaap-stam,Jaap Stam,out,2001-08-27,day,2001-02,S.S. Lazio,s-s-lazio,16500000,£16.5m,fee,,permanent
2001-08-30-laurent-blanc-in,laurent-blanc,Laurent Blanc,in,2001-08-30,day,2001-02,FC Internazionale Milan,fc-internazionale-milan,,£Free,free,,permanent
2001-11-09-jesper-blomqvist-out,jesper-blomqvist,Jesper Blomqvist,out,2001-11-09,day,2001-02,Everton,everton,,£Free,free,,permanent
2001-12-29-andrew-cole-out,andy-cole,Andy Cole,out,2001-12-29,day,2001-02,Blackburn Rovers,blackburn-rovers,7500000,£7.5m,fee,,permanent
2002-01-22-diego-forlan-in,diego-forlan,Diego Forlán,in,2002-01-22,day,2001-02,Club Atl&eacute;tico Independiente,club-atlandeacute-tico-independiente,7500000,£7.5m,fee,,permanent
2002-02-01-michael-clegg-out,michael-clegg,Michael Clegg,out,2002-02-01,month,2001-02,Oldham Athletic,oldham-athletic,,£Free,free,,permanent
2002-05-20-paul-rachubka-out,paul-rachubka,Paul Rachubka,out,2002-05-20,day,2001-02,Charlton Athletic,charlton-athletic,200000,£200,fee,,permanent
2002-06-30-raimond-van-der-gouw-out,raimond-van-der-gouw,Raimond van der Gouw,out,2002-06-30,day,2001-02,West Ham United,west-ham-united,,£Free,free,,permanent
2002-06-30-ronny-johnsen-out,ronny-johnsen,Ronny Johnsen,out,2002-06-30,day,2001-02,Aston Villa,aston-villa,,£Free,free,,permanent
2002-07-01-denis-irwin-out,denis-irwin,Denis Irwin,out,2002-07-01,month,2002-03,Wolverhampton Wanderers,wolverhampton-wanderers,,£Free,free,,permanent
2002-07-01-jonathan-greening-out,jonathan-greening,Jonathan Greening,out,2002-07-01,month,2002-03,Middlesbrough,middlesbrough,2000000,£2m,fee,,permanent
2002-07-01-nick-culkin-out,nick-culkin,Nick Culkin,out,2002-07-01,month,2002-03,Queens Park Rangers,queens-park-rangers,,£Free,free,,permanent
2002-07-01-ronnie-wallwork-out,ronnie-wallwork,Ronnie Wallwork,out,2002-07-01,month,2002-03,West Bromwich Albion,west-bromwich-albion,,£,unknown,,permanent
2002-07-01-tom-heaton-in,tom-heaton,Tom Heaton,in,2002-07-01,day,2002-03,,,,,none,,youth
2002-07-21-rio-ferdinand-in,rio-ferdinand,Rio Ferdinand,in,2002-07-21,day,2002-03,Leeds United,leeds-united,30000000,£30m,fee,,permanent
2002-07-26-dwight-yorke-out,dwight-yorke,Dwight Yorke,out,2002-07-26,day,2002-03,Blackburn Rovers,blackburn-rovers,2600000,£2.6m,fee,,permanent
2002-08-01-mads-timm-in,mads-timm,Mads Timm,in,2002-08-01,day,2002-03,OB Odense,ob-odense,,£,unknown,,permanent
2002-08-30-ricardo-lopez-in,,Ricardo Lopez,in,2002-08-30,day,2002-03,Real Valladolid,real-valladolid,1500000,£1.5m,fee,,permanent
2003-05-01-lee-roche-out,lee-roche,Lee Roche,out,2003-05-01,month,2002-03,Burnley,burnley,,£Free,free,,permanent
2003-07-01-chris-eagles-in,chris-eagles,Chris Eagles,in,2003-07-01,day,2003-04,,,,,none,,youth
2003-07-01-david-bellion-in,david-bellion,David Bellion,in,2003-07-01,day,2003-04,AFC Sunderland,afc-sunderland,2000000,£2m,fee,,permanent
2003-07-01-david-jones-in,david-jones,David Jones,in,2003-07-01,day,2003-04,,,,,none,,youth
2003-07-01-david-may-out,david-may,David May,out,2003-07-01,day,2003-04,,,,,unknown,,released
2003-07-01-laurent-blanc-out,laurent-blanc,Laurent Blanc,out,2003-07-01,day,2003-04,,,,,unknown,,retired
2003-07-01-phillip-marsh-in,,Phillip Marsh,in,2003-07-01,month,2003-04,,,,,none,,youth
2003-07-01-richie-jones-in,,Richie Jones,in,2003-07-01,month,2003-04,,,,,none,,youth
2003-07-02-david-beckham-out,david-beckham,David Beckham,out,2003-07-02,day,2003-04,Real Madrid,real-madrid,25000000,£25m,fee,,permanent
2003-07-07-danny-webber-out,danny-webber,Danny Webber,out,2003-07-07,day,2003-04,Watford,watford,,£Free,free,,permanent
2003-07-15-tim-howard-in,tim-howard,Tim Howard,in,2003-07-15,day,2003-04,New Jersey Metrostars,new-jersey-metrostars,1200000,£1.2m,fee,,permanent
2003-07-17-danny-simpson-in,danny-simpson,Danny Simpson,in,2003-07-17,day,2003-04,,,,,none,,youth
2003-08-07-juan-sebastian-veron-out,juan-sebastian-veron,Juan Sebastián Verón,out,2003-08-07,day,2003-04,Chelsea,chelsea,15000000,£15m,fee,,permanent
2003-08-12-cristiano-ronaldo-in,cristiano-ronaldo,Cristiano Ronaldo,in,2003-08-12,day,2003-04,Sporting Lisbon,sporting-lisbon,12240000,£12.24m,fee,,permanent
2003-08-12-jose-pereira-kleberson-in,,Jose Pereira Kleberson,in,2003-08-12,day,2003-04,Atletico Paranaense,atletico-paranaense,5930000,£5.93m,fee,,permanent
2003-12-15-lee-martin-in,lee-martin-2005,Lee Martin,in,2003-12-15,day,2003-04,,,,,none,,youth
2004-01-01-liam-miller-in,liam-miller,Liam Miller,in,2004-01-01,month,2003-04,Celtic F.C,celtic-f-c,,£Free,free,,permanent
2004-01-13-fangzou-dong-in,,Fangzou Dong,in,2004-01-13,day,2003-04,Dalian Shide,dalian-shide,3500000,£3.5m,fee,,permanent
2004-01-23-louis-saha-in,louis-saha,Louis Saha,in,2004-01-23,day,2003-04,Fulham FC,fulham-fc,12825000,£12.825m,fee,,permanent
2004-05-01-gerard-pique-in,gerard-pique,Gerard Piqué,in,2004-05-01,month,2003-04,FC Barcelona,fc-barcelona,,£,unknown,,permanent
2004-05-26-alan-smith-in,alan-smith,Alan Smith,in,2004-05-26,day,2003-04,Leeds United,leeds-united,7050000,£7.05m,fee,,permanent
2004-05-26-danny-pugh-out,danny-pugh,Danny Pugh,out,2004-05-26,day,2003-04,Leeds United,leeds-united,,£Free,free,,permanent
2004-06-11-gabriel-heinze-in,gabriel-heinze,Gabriel Heinze,in,2004-06-11,day,2003-04,Paris Saint Germain FC,paris-saint-germain-fc,6900000,£6.9m,fee,,permanent
2004-07-01-bojan-djordic-out,,Bojan Djordic,out,2004-07-01,day,2004-05,Glasgow Rangers,glasgow-rangers,,£,unknown,,permanent
2004-07-01-darron-gibson-in,darron-gibson,Darron Gibson,in,2004-07-01,day,2004-05,,,,,none,,youth
2004-07-01-david-gray-in,david-gray,David Gray,in,2004-07-01,day,2004-05,,,,,none,,youth
